,text,author_id
0,RT @VerulamYear7: And the tweets are coming thick and fast today! #team7 on Christmas Jumper Day yesterday in Verulab science club showing…,84897291
1,RT @ChilternA: Year 11 pupils enjoyed visiting @verulamschool today to see the 6th form in action! https://t.co/wBbVRb5WDF,84897291
2,RT @englishteachai: @verulamschool ’s finest! Absolute pros 👏🏿,84897291
3,RT @Verulam6thForm: Our last @Verulam6thForm Engaging Minds Lecture of the year #EML22 Thank you to Prison Group Director @ian_bickers for…,84897291
4,Great to have @ChilternA @verulamschool today! #VerulamForLife https://t.co/NR1CWXbPda,84897291
5,"RT @CharlieRoss99: Costumes mean nothing without the talent inside them, but are so important to any production! Sad to see them go! #AChri…",84897291
6,"RT @VerulamYear7: Yet more Letters of Recognition for #team7. So proud of how many of you are showing the core values of excellence, charac…",84897291
7,RT @MrJAnthony0: Delighted to welcome over 150 primary students for an afternoon showing of our Christmas Production of ‘A Christmas Carol’…,84897291
8,RT @verulamvoice: Backstage Ready 💥 #VerulamForLife #AChristmasCarol https://t.co/B5aOAqUHWx,84897291
9,RT @verulamvoice: It’s a wrap!!! @MrMacKenzieVer1 @verulamschool https://t.co/vpLtAzxwyf,84897291
10,RT @MrMacKenzieVer1: There’s a ghost in the house! Our ghost of Christmas Yet To Come thinks that @verulamschool production of A Christmas…,84897291
11,RT @jrichardson_j: Amazing performance of A Christmas Carol tonight @verulamschool @CharlieRoss99 👏👏👏👏#VerulamForLife https://t.co/qXn6GpzQ…,84897291
12,RT @VerulamYear7: Christmas jumper day has come to Year 7 to spread some festive cheer! #Christmasjumperday2022 #team7 #verulamforlife @ver…,84897291
13,"RT @Verulearning: 📚 Have you seen our KS3 Subject Specific Recommended Reading Lists at @verulamschool? If you enjoy Music, have you tried…",84897291
14,RT @CharlieRoss99: It’s showtime! @verulamschool production of ‘A Christmas Carol’ on 7th/8th Dec. Tickets still available. We’ve really pu…,84897291
15,RT @Verulearning: Over 400 H2s have been issued so far this academic year to pupils using the WotW at school! Word of the Week at @verulams…,84897291
16,RT @Verulam6thForm: Engaging Minds Lecture #EML22 this week saw the return of @verulamschool @Verulam6thForm 'old boy' Spencer Caminsky of…,84897291
17,RT @jrichardson_j: Saturday rehearsal is in full swing @verulamschool #AChristmasCarol #VerulamForLife https://t.co/EUo2oQeT5f,84897291
18,RT @MrKnowlesPhys: Let the plotting begin #verulamcluedo2022 @MissGPerry B3 please ma’am. There is an important meeting in their for you to…,84897291
19,RT @jrichardson_j: Revived an old tradition - whole school photo @verulamschool #VerulamForLife https://t.co/bq9aUrWglL,84897291
20,"RT @Verulearning: 📚 Have you seen our KS3 Subject Specific Recommended Reading Lists at @verulamschool? If you enjoy Maths, have you tried…",84897291
21,RT @VerulamMaths: A fun day @verulamschool in the maths department! @Verulam6thForm learning about moments by making seesaws and year 8 ans…,84897291
22,RT @verulamschool: Verulam Staff Reads are up @MrJPTeach #VerulamForLife https://t.co/g104R3zVZH,84897291
23,Verulam Staff Reads are up @MrJPTeach #VerulamForLife https://t.co/g104R3zVZH,84897291
24,RT @jrichardson_j: Great T&amp;L briefing today @Verulearning @verulamschool #VerulamForLife https://t.co/38nHUXIs1D,84897291
25,Amazing accomplishment!!🎉👏👏👏 #VerulamForLife https://t.co/VKGOwLIZVM,84897291
26,RT @CharlieRoss99: Very proud of our students today! Genuinely interested in Scottish National dress. They have such enquiring minds &amp; resp…,84897291
27,RT @jrichardson_j: Happy St Andrew’s day from @verulamschool #VerulamForLife https://t.co/bk6649warg,84897291
28,Amazing new artwork displayed @verulamschool #CreativeThinkersForLife #VerulamForLife https://t.co/aw5VWnGEQa,84897291
29,"RT @Verulearning: Literacy is integral to progress, hence the WotW to help improve exposure to new vocabulary. Word of the Week at @verulam…",84897291
30,RT @VerulamMaths: #Teammaths are on route home! Estimated time of arrival at At Albans Station 5pm @verulamschool https://t.co/pZ31zbqPcF,84897291
31,"RT @VerulamMaths: Great fun with year 7s today “playing with numbers”. Using only the numbers 4,2 and 3 they had to make all the numbers in…",84897291
32,RT @VerulamEnglish: Great atmosphere at Verulam school supporting the UN Anti Violence Against Women awareness campaign by 'going orange'.…,84897291
33,RT @Verulam6thForm: Well done @StAlbansCath for hosting another annual Herts ‘Sixth Form Debate’. Engaging and divided perspectives on Free…,84897291
34,RT @Verulearning: Some fantastic attempts so far of our WotW being used! Word of the Week at @verulamschool wb 21st Nov = Liberal. Can you…,84897291
35,RT @Verulam_PE: Well done to student Jack B and former student Elikem💪🏻,84897291
36,RT @jrichardson_j: Great atmosphere ⁦@verulamschool⁩ watching the England game 🏴󠁧󠁢󠁥󠁮󠁧󠁿 today #VerulamForLife https://t.co/NfCq8gyZLI,84897291
37,RT @verulamvoice: OVA Dinner #VerulamForLife 🦌 https://t.co/5bR6Ync1dq,84897291
38,RT @VerulamEnglish: Thank you to all those who donated cakes to our Verulam Children in Need cake sales today - sales were brisk! https://t…,84897291
39,Make sure you’ve paid via Parent Mail. #ChildrenInNeed2022 #CompassionateForLife #VerulamForLife https://t.co/51eWukUlPl,84897291
40,RT @LTABoys: Save the date - 20/05/22 email letstalkaboutboys@verulam.herts.sch.uk to express an interest in delivering a workshop. Tickets…,84897291
41,RT @sAInaptic: Lovely to see the ultra crazy and ultra amazing science teachers @verulamschool doing what they always do well - having fun!…,84897291
42,RT @Verulam_PE: The year 9 boys rugby team lost away in the National Cup yesterday to an incredibly strong Hitchin Boys School. The boys sh…,84897291
43,RT @Verulearning: There is empirical evidence to suggest learning new words improves literacy! Word of the Week at @verulamschool wb 14th N…,84897291
44,RT @habsboys @St_Ignatius @BishopChallSLS @WBGSExcellence @StPaulsSchool @HitchinBoys @harrowschool @ChallneyBoys @Eton_College @BoysSchools https://t.co/UOvtwtNC11,84897291
45,RT @VerulamYear7: Odd socks for #OddSocksDay #AntiBullyingWeek ! Let’s celebrate diversity together #inclusiveforlife #verulamforlife @veru…,84897291
46,RT @VerulamMaths: Monday night maths for @verulamschool year 11 students was buzzing tonight! 50+ students all working hard on some of the…,84897291
47,RT @VerulamYear7: Remember to wear odd socks to show you celebrate diversity for #oddsocksday #AntiBullyingWeek #inclusiveforlife #verulamf…,84897291
48,"RT @Verulam6thForm: Engaging Minds Lecture #EML22 this week saw @verulamschool old boy, Professor @GoodwinMJ delivering a powerful and pers…",84897291
49,"RT @LinneySharon: Happy #WorldKindnessDay If we all did one  kind thing to someone, the world would be a better place ❤ 🌎 https://t.co/GHKB…",84897291
50,RT @SurvivorsUK: A community is made vibrant by the different individuals in it. To mark the beginning of #transgenderawarenessweek we woul…,84897291
51,RT @Verulearning: Pupils enjoying topical reads in our canteen with “Restaurant Reads” - this week is remembering those who have fallen in…,84897291
52,"RT @Verulam_PE: An amazing morning of rugby for the Vs!! Year 7 competed in a Tournament with a variety of schools across the County!

They…",84897291
53,"RT @Verulam_PE: Year 9 also hosted Sandringham this morning at the Lane coming out victorious in a 14-7 victory.

#ambassadors 
#verulamfor…",84897291
54,RT @VerulamMaths: Our @verulamschool KS3 maths club students have been enjoying learning to use @Desmos to create all sorts of wonderful th…,84897291
55,RT @LTABoys: Looking forward to our conference on educating boys @BoysSchools @verulamschool with our keynote @Positivteacha pls RT @StPaul…,84897291
56,RT @AlbanTSH: Action packed @bestpracticenet   ECT session @SandringhamSch1 with Catherine Phillips from @Roundwood_Park. Welcoming ECTs fr…,84897291
57,"RT @jrichardson_j: Very proud of our fantastic, high-achieving, inclusive school ⁦@verulamschool⁩ #VerulamForLife https://t.co/TyLLT6JM2t",84897291
58,"RT @jrichardson_j: Wonderful speaking to staff, pupils and parents @ChilternA this evening with @verulamschool staff, our senior prefects a…",84897291
59,"RT @jrichardson_j: What a day! A fantastic Curriculum Enrichment day, a Year 11 information evening whilst also hosting some special visito…",84897291
60,RT @VerulamYear7: Lots of photos of our #team7 trip to @MuseumofLondon today for Curriculum Enrichment Day. The boys really enjoyed their f…,84897291
61,RT @VerulamYear7: Lots of photos of our #team7 trip to @MuseumofLondon today for Curriculum Enrichment Day. The boys really enjoyed their f…,84897291
62,RT @VerulamYear7: Lots of photos of our #team7 trip to @MuseumofLondon today for Curriculum Enrichment Day. The boys really enjoyed their f…,84897291
63,RT @jrichardson_j: Very excited to share our twitter page @LTABoys @verulamschool @Positivteacha 😁 https://t.co/sQMH1ynV3L,84897291
64,RT @VerulamYear7: Lots of photos of our #team7 trip to @MuseumofLondon today for Curriculum Enrichment Day. The boys really enjoyed their f…,84897291
65,RT @VerulamYear7: Lots of photos of our #team7 trip to @MuseumofLondon today for Curriculum Enrichment Day. The boys really enjoyed their f…,84897291
66,RT @VerulamYear7: Lots of photos of our #team7 trip to @MuseumofLondon today for Curriculum Enrichment Day. The boys really enjoyed their f…,84897291
67,RT @VerulamYear7: Lots of photos of our #team7 trip to @MuseumofLondon today for Curriculum Enrichment Day. The boys really enjoyed their f…,84897291
68,RT @VerulamYear7: Lots of photos of our #team7 trip to @MuseumofLondon today for Curriculum Enrichment Day. The boys really enjoyed their f…,84897291
69,"RT @RealGeoffBarton: ""This isn't about not painting corridors or not buying some textbooks: it's a threat to educational standards"": my con…",84897291
70,"RT @Verulam_PE: This evening we hosted the District Badminton Tournament welcoming a host of schools🏸

Both our U14 and U16 sides were very…",84897291
71,RT @jrichardson_j: They’ve finally arrived! Our Blue Stag awards are here! ⁦@verulamschool⁩ #VerulamForLife https://t.co/Kx2g8ArAUr,84897291
72,"RT @Verulearning: Make sure you use WotW as an incentive to not only improve your literacy, but also for an H2! Word of the Week at @verula…",84897291
73,RT @BediReema: @jrichardson_j @universoulbrand @verulamschool So proud to be part of team Verulam and a great talk to listen on Saturday mo…,84897291
74,Amazing work boys! https://t.co/3OFRDvo3qg,84897291
75,We’re so proud to introduce this too and thankful for all your hard work @PollyHartxx and the Inclusion Team! #InclusiveForLife #VerulamForLife https://t.co/ZhDHqu1mXh,84897291
